date,lower interquartile,upper interquartile,10% of readings fall below this line,10% of readings fall above this line,1981-2010 median,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
May 17,3125,27500,1625,42500,7500.0,NA,21000,5000,NA,24000,NA,NA,0,NA,89000,0,8000,8000,1000,19000,42000,NA,19000,5000,5000,2000,21000,28000,18000,28000,8000,121000,5000,2000,35000,42000,2000,2000,2000,18000,0,4000,104000,11000,4000,57000
May 18,3750,31718.75,562.5,76875,6562.5,2000,NA,NA,6000,NA,6000,55000,NA,12000,88000,0,6000,0,4000,5000,53000,153000,76000,56000,1000,0,9000,1000,31000,32000,7000,124000,5000,6000,19000,24000,2000,1000,15000,3000,116000,19000,156000,68000,7000,24000
May 19,1875,43750,625,54125,3750.0,NA,6000,2000,NA,2000,NA,NA,4000,NA,49000,1000,1000,2000,1000,2000,NA,27000,58000,75000,32000,0,17000,0,41000,16000,2000,106000,3000,2000,44000,46000,1000,1000,39000,11000,119000,0,110000,151000,16000,31000
May 20,1250,35625,0,53250,5000.0,1000,NA,NA,20000,NA,1000,51000,NA,78000,27000,0,0,0,2000,2000,5000,NA,44000,6000,243000,0,20000,0,44000,36000,2000,61000,1000,1000,38000,35000,4000,2000,23000,8000,157000,1000,154000,199000,30000,28000
May 21,5625,41250,625,95000,13750.0,NA,38000,6000,NA,14000,NA,NA,1000,NA,15000,0,0,NA,9000,8000,NA,NA,17000,86000,306000,1000,5000,16000,22000,115000,7000,52000,4000,1000,34000,19000,66000,2000,2000,9000,111000,1000,85000,165000,6000,22000
May 22,5000,20625,1625,166625,8125.0,0,NA,NA,5000,NA,19000,165000,NA,19000,8000,2000,4000,1000,8000,6000,10000,NA,16000,21000,177000,2000,8000,38000,5000,284000,12000,35000,6000,1000,12000,24000,173000,6000,13000,7000,66000,25000,70000,38000,0,59000
May 23,3906.25,22578.125,1812.5,44250,8281.25,NA,98000,6000,NA,1000,NA,NA,0,NA,6000,1000,2000,6000,3000,6000,11000,6000,18000,15000,66000,2000,4000,42000,7000,33000,14000,33000,2000,4000,29000,18000,204000,8000,2000,57000,26000,30000,40000,125000,10000,48000
May 24,2187.5,30312.5,531.25,72625,15937.5,29000,NA,NA,16000,NA,0,74000,NA,29000,22000,0,4000,NA,1000,72000,15000,NA,1000,17000,33000,12000,5000,94000,49000,18000,28000,44000,4000,1000,2000,22000,197000,2000,7000,41000,26000,6000,29000,117000,38000,34000
May 25,6718.75,45937.5,1250,99187.5,13125.0,NA,61000,25000,NA,0,NA,NA,1000,NA,45000,1000,6000,12000,1000,109000,11000,8000,4000,21000,98000,12000,6000,46000,120000,12000,33000,70000,4000,8000,36000,14000,144000,5000,39000,23000,4000,11000,62000,105000,4000,54000
May 26,11093.75,51875,4937.5,114500,27500.0,9000,NA,NA,1000,NA,148000,38000,NA,30000,76000,27000,11000,8000,39000,111000,28000,13000,4000,13000,195000,11000,14000,30000,144000,5000,44000,54000,12000,19000,74000,8000,101000,25000,29000,25000,12000,3000,49000,61000,9000,43000
May 27,12968.75,55312.5,4250,112437.5,31875.0,NA,1.00E+05,42000,NA,37000,NA,NA,8000,NA,38000,33000,44000,14000,64000,54000,19000,12000,6000,32000,196000,5000,2000,27000,134000,3000,136000,56000,25000,22000,110000,4000,71000,11000,18000,11000,17000,5000,39000,28000,22000,71000
May 28,9687.5,57031.25,4937.5,142625,28125.0,6000,NA,NA,5000,NA,1000,8000,NA,34000,52000,181000,42000,31000,58000,25000,21000,4000,1000,21000,247000,21000,22000,17000,149000,5000,142000,31000,9000,74000,94000,11000,56000,8000,176000,1000,1000,1000,24000,11000,2000,33000
May 29,12812.5,64062.5,3593.75,117375,34375.0,NA,32000,48000,NA,99000,NA,NA,4000,NA,39000,286000,80000,59000,19000,13000,NA,NA,2000,31000,266000,32000,39000,26000,155000,11000,83000,49000,17000,12000,101000,16000,37000,6000,334000,4000,10000,0,43000,42000,28000,20000
May 30,19375,81875,2375,125250,36875.0,1000,NA,NA,0,NA,4000,0,NA,48000,34000,462000,68000,149000,2000,10000,NA,82000,2000,25000,230000,19000,25000,115000,101000,32000,82000,32000,28000,48000,119000,37000,51000,4000,374000,30000,14000,8000,59000,21000,74000,8000
May 31,13125,103125,5250,169375,36875.0,NA,14000,34000,NA,37000,NA,NA,1000,NA,13000,474000,66000,204000,6000,5000,9000,157000,NA,31000,254000,32000,21000,92000,121000,161000,112000,39000,28000,82000,103000,44000,41000,4000,367000,18000,13000,20000,80000,32000,43000,16000
June 1,10625,134375,4125,184750,46875.0,32000,NA,NA,1000,NA,9000,11000,NA,22000,4000,189000,61000,181000,34000,4000,3000,201000,NA,72000,252000,38000,9000,184000,112000,156000,134000,33000,30000,135000,94000,99000,47000,8000,418000,44000,39000,15000,29000,28000,20000,19000
June 2,17500,116875,6500,204625,42500.0,NA,6000,91000,NA,25000,NA,NA,1000,NA,103000,95000,44000,178000,22000,2000,8000,264000,NA,98000,198000,42000,16000,58000,117000,233000,194000,32000,39000,191000,42000,271000,34000,10000,311000,56000,44000,26000,25000,26000,139000,38000
