month,day,total,total-color,retweets,retweets-color,original,original-color,highestLikes,highestLikes-color,highestRetweets,highestRetweets-color,totalLikes,totalLikes-color,letters,letters-color,capitalLetters,capitalLetters-color,loudness,loudness-color,likeRate,likeRate-color,totalRetweets,totalRetweets-color,retweetRate,retweetRate-color,most-popular-text,most-popular-id,most-popular-date
2017-01-01,28,6,#edf7fe,0,#ffffff,6,#edf7fe,170093,#d1ebfc,32623,#d7eefd,614935,#ceeafc,532,#eff8fe,51,#f1f9fe,9.586466165413533,#ceeafc,102489.16666666667,#bee4fb,112288,#e8f5fe,18714.666666666668,#addcfa,"Today&#44; we remember the crew of the Space Shuttle Challenger&#44; 31 years later. #NeverForget https://t.co/OhshQsFRfl",825368580325773312,2017-01-28 04:42
2017-01-01,29,5,#f0f8fe,0,#ffffff,5,#f0f8fe,223856,#c1e5fb,59432,#b5e0fb,832012,#bce3fb,541,#eff8fe,36,#f5fbfe,6.654343807763401,#ddf1fd,166402.4,#98d3f9,198262,#d6eefd,39652.4,#54b6f5,"Christians in the Middle-East have been executed in large numbers. We cannot allow this horror to continue!",825721153142521858,2017-01-29 04:03
2017-01-01,30,9,#e3f3fd,0,#ffffff,9,#e3f3fd,176861,#cfebfc,35502,#d3ecfc,1213983,#9fd6fa,837,#e6f4fd,67,#edf7fe,8.004778972520908,#d6eefd,134887,#acdcfa,245642,#cceafc,27293.555555555555,#87ccf8,"The American dream is back. We’re going to create an environment for small business like we haven’t had in many&#44; ma… https://t.co/Bh7SrNEgz1",826175120238604288,2017-01-30 10:07
2017-01-01,31,3,#f6fbfe,0,#ffffff,3,#f6fbfe,179221,#ceeafc,38848,#cfebfc,459100,#daf0fd,331,#f5fbfe,26,#f8fcff,7.854984894259819,#d7eefd,153033.33333333334,#a1d7fa,97752,#ebf6fe,32584,#71c3f7,"When will the Democrats give us our Attorney General and rest of Cabinet! They should be ashamed of themselves! No wonder D.C. doesn't work!",826391334248407040,2017-01-31 12:27
2017-02-01,1,4,#f3fafe,0,#ffffff,4,#f3fafe,252382,#bae2fb,60583,#b4dffb,659762,#cae9fc,290,#f6fbfe,41,#f4fafe,14.137931034482758,#b6e0fb,164940.5,#99d4f9,117869,#e7f5fe,29467.25,#7dc8f8,"Everybody is arguing whether or not it is a BAN. Call it what you want&#44; it is about keeping bad people (with bad intentions) out of country!",826774668245946368,2017-02-01 01:50
2017-02-01,2,8,#e7f5fe,0,#ffffff,8,#e7f5fe,213655,#c4e7fb,60266,#b4e0fb,1042808,#acdcfa,772,#e8f5fe,67,#edf7fe,8.678756476683938,#d3ecfc,130351,#aeddfa,241111,#cdeafc,30138.875,#7bc7f8,"If U.C. Berkeley does not allow free speech and practices violence on innocent people with a different point of view - NO FEDERAL FUNDS?",827112633224544256,2017-02-02 12:13
2017-02-01,3,6,#edf7fe,0,#ffffff,6,#edf7fe,173210,#d0ebfc,64118,#b0defa,901278,#b7e1fb,632,#ecf7fe,69,#ecf7fe,10.917721518987342,#c7e7fc,150213,#a2d8fa,223372,#d1ebfc,37228.666666666664,#5fbaf6,"Iran is playing with fire - they don't appreciate how &#34;kind&#34; President Obama was to them. Not me!",827478751931924480,2017-02-03 12:28
2017-02-01,4,9,#e3f3fd,0,#ffffff,9,#e3f3fd,255896,#b9e2fb,66140,#aedcfa,1478391,#89cdf9,826,#e6f5fe,54,#f0f9fe,6.5375302663438255,#def1fd,164265.66666666666,#9ad4f9,318144,#bce3fb,35349.333333333336,#67bdf6,"MAKE AMERICA GREAT AGAIN!",827885966509604865,2017-02-04 03:26
2017-02-01,5,7,#eaf6fe,0,#ffffff,7,#eaf6fe,185073,#cceafc,36535,#d2ecfc,768763,#c1e5fb,648,#ecf7fe,69,#ecf7fe,10.648148148148149,#c8e8fc,109823.28571428571,#bae2fb,151588,#e0f2fd,21655.428571428572,#a1d7fa,"Enjoy the #SuperBowl and then we continue: MAKE AMERICA GREAT AGAIN!",828375073006444544,2017-02-05 11:49
2017-02-01,6,5,#f0f8fe,0,#ffffff,5,#f0f8fe,267584,#b6e0fb,72934,#a6d9fa,651407,#cbe9fc,458,#f1f9fe,35,#f6fbfe,7.641921397379913,#d8eefd,130281.4,#aeddfa,152437,#e0f2fd,30487.4,#79c7f8,"What an amazing comeback and win by the Patriots. Tom Brady&#44; Bob Kraft and Coach B are total winners. Wow!",828447350200926212,2017-02-06 04:36
